Source,Target,Weight,Type
Harris_1788A.rtf,Harris_1793.rtf,6,undirected
Harris_1788A.rtf,MissLstr_1788.rtf,1,undirected
Harris_1788A.rtf,MrsHrvy_1788.rtf,2,undirected
Harris_1793.rtf,Harris_1788A.rtf,6,undirected
Harris_1793.rtf,MissLstr_1788.rtf,1,undirected
Harris_1793.rtf,MrsHrvy_1788.rtf,2,undirected
MissBetsyClrke_1788.rtf,MissBrwn_1788.rtf,3,undirected
MissBetsyClrke_1788.rtf,MissGrge_1788.rtf,3,undirected
MissBetsyClrke_1788.rtf,MissGrn_1788.rtf,6,undirected
MissBetsyClrke_1788.rtf,MissHarrietJns_1788.rtf,2,undirected
MissBetsyClrke_1788.rtf,MissMntn_1788.rtf,1,undirected
MissBetsyHdsn_1788.rtf,MissBnd_1788.rtf,1,undirected
MissBetsyHdsn_1788.rtf,MissHarrietJns_1788.rtf,3,undirected
MissBetsyHdsn_1788.rtf,MissLstr_1788.rtf,2,undirected
MissBlke_1788.rtf,MissDvnprt_1788.rtf,3,undirected
MissBlke_1788.rtf,MissHarrietJns_1788.rtf,1,undirected
MissBlke_1788.rtf,MissLstr_1788.rtf,3,undirected
MissBlke_1788.rtf,MrsHrvy_1788.rtf,2,undirected
MissBnd_1788.rtf,MissBetsyHdsn_1788.rtf,1,undirected
MissBnd_1788.rtf,MissHarrietJns_1788.rtf,3,undirected
MissBnd_1788.rtf,MissLstr_1788.rtf,3,undirected
MissBnd_1788.rtf,MissMntn_1788.rtf,1,undirected
MissBrn_1788.rtf,MissHrdy_1788.rtf,3,undirected
MissBrn_1788.rtf,MissJnsn_1788.rtf,1,undirected
MissBrn_1788.rtf,MissLnsy_1788.rtf,3,undirected
MissBrwn_1788.rtf,MissBetsyClrke_1788.rtf,3,undirected
MissBrwn_1788.rtf,MissGrn_1788.rtf,1,undirected
MissBrwn_1788.rtf,MissLcs_1788.rtf,2,undirected
MissClnton_1788.rtf,MissDglss_1788.rtf,3,undirected
MissClnton_1788.rtf,MissHrdy_1788.rtf,3,undirected
MissClnton_1788.rtf,MissLnsy_1788.rtf,2,undirected
MissClnton_1788.rtf,MissTrbt_1788.rtf,1,undirected
MissDglss_1788.rtf,MissClnton_1788.rtf,3,undirected
MissDglss_1788.rtf,MissHrdy_1788.rtf,2,undirected
MissDglss_1788.rtf,MissJnsn_1788.rtf,1,undirected
MissDvnprt_1788.rtf,MissBlke_1788.rtf,3,undirected
MissDvnprt_1788.rtf,MissLstr_1788.rtf,2,undirected
MissDvnprt_1788.rtf,MrsHrvy_1788.rtf,1,undirected
MissGrge_1788.rtf,MissBetsyClrke_1788.rtf,3,undirected
MissGrge_1788.rtf,MissGrn_1788.rtf,1,undirected
MissGrge_1788.rtf,MissMntn_1788.rtf,2,undirected
MissGrn_1788.rtf,MissBetsyClrke_1788.rtf,6,undirected
MissGrn_1788.rtf,MissBrwn_1788.rtf,1,undirected
MissGrn_1788.rtf,MissGrge_1788.rtf,1,undirected
MissGrn_1788.rtf,MissHarrietJns_1788.rtf,3,undirected
MissGrn_1788.rtf,MissKn_1788.rtf,1,undirected
MissGrn_1788.rtf,MissMntn_1788.rtf,2,undirected
MissHarrietJns_1788.rtf,MissBetsyClrke_1788.rtf,2,undirected
MissHarrietJns_1788.rtf,MissBetsyHdsn_1788.rtf,3,undirected
MissHarrietJns_1788.rtf,MissBlke_1788.rtf,1,undirected
MissHarrietJns_1788.rtf,MissBnd_1788.rtf,3,undirected
MissHarrietJns_1788.rtf,MissGrn_1788.rtf,3,undirected
MissHarrietJns_1788.rtf,MissKn_1788.rtf,3,undirected
MissHarrietJns_1788.rtf,MissLstr_1788.rtf,5,undirected
MissHarrietJns_1788.rtf,MissMntn_1788.rtf,6,undirected
MissHarrietJns_1788.rtf,MrsDd_1788.rtf,1,undirected
MissHarrietJns_1788.rtf,MrsDfld_1788.rtf,2,undirected
MissHarrietJns_1788.rtf,MrsHrvy_1788.rtf,2,undirected
MissHllnd_1788.rtf,MissHrdy_1788.rtf,3,undirected
MissHllnd_1788.rtf,MissJnsn_1788.rtf,1,undirected
MissHllnd_1788.rtf,MissLcs_1788.rtf,4,undirected
MissHllnd_1788.rtf,MissLvr_1788.rtf,1,undirected
MissHllnd_1788.rtf,MissRchrdsn_1788.rtf,1,undirected
