Source,Target,Weight,Type
Harris_1788A.rtf,Harris_1793.rtf,30,undirected
Harris_1788A.rtf,MissDvnprt_1788.rtf,10,undirected
Harris_1788A.rtf,MrsCrsby_1788.rtf,5,undirected
Harris_1793.rtf,Harris_1788A.rtf,30,undirected
Harris_1793.rtf,MissDvnprt_1788.rtf,10,undirected
Harris_1793.rtf,MrsCrsby_1788.rtf,5,undirected
MissBetsyClrke_1788.rtf,MissBrwn_1788.rtf,28,undirected
MissBetsyClrke_1788.rtf,MissGrge_1788.rtf,18,undirected
MissBetsyClrke_1788.rtf,MissGrn_1788.rtf,16,undirected
MissBetsyHdsn_1788.rtf,MissHarrietJns_1788.rtf,20,undirected
MissBetsyHdsn_1788.rtf,MissLstr_1788.rtf,16,undirected
MissBetsyHdsn_1788.rtf,MrsDfld_1788.rtf,24,undirected
MissBlke_1788.rtf,MissDvnprt_1788.rtf,10,undirected
MissBlke_1788.rtf,MrsCrsby_1788.rtf,9,undirected
MissBlke_1788.rtf,MrsDd_1788.rtf,21,undirected
MissBlke_1788.rtf,MrsHrvy_1788.rtf,26,undirected
MissBnd_1788.rtf,MissHarrietJns_1788.rtf,20,undirected
MissBnd_1788.rtf,MissKn_1788.rtf,18,undirected
MissBnd_1788.rtf,MissMntn_1788.rtf,23,undirected
MissBrn_1788.rtf,MissClnton_1788.rtf,26,undirected
MissBrn_1788.rtf,MissDglss_1788.rtf,10,undirected
MissBrn_1788.rtf,MissHrdy_1788.rtf,12,undirected
MissBrn_1788.rtf,MissJnsn_1788.rtf,3,undirected
MissBrn_1788.rtf,MissLnsy_1788.rtf,22,undirected
MissBrn_1788.rtf,MissTrbt_1788.rtf,7,undirected
MissBrwn_1788.rtf,MissBetsyClrke_1788.rtf,28,undirected
MissBrwn_1788.rtf,MissGrge_1788.rtf,10,undirected
MissBrwn_1788.rtf,MissGrn_1788.rtf,5,undirected
MissClnton_1788.rtf,MissBrn_1788.rtf,26,undirected
MissClnton_1788.rtf,MissDglss_1788.rtf,15,undirected
MissClnton_1788.rtf,MissHrdy_1788.rtf,4,undirected
MissClnton_1788.rtf,MissJnsn_1788.rtf,1,undirected
MissClnton_1788.rtf,MissLnsy_1788.rtf,12,undirected
MissDglss_1788.rtf,MissBrn_1788.rtf,10,undirected
MissDglss_1788.rtf,MissClnton_1788.rtf,15,undirected
MissDglss_1788.rtf,MissLnsy_1788.rtf,5,undirected
MissDvnprt_1788.rtf,Harris_1788A.rtf,10,undirected
MissDvnprt_1788.rtf,Harris_1793.rtf,10,undirected
MissDvnprt_1788.rtf,MissBlke_1788.rtf,10,undirected
MissDvnprt_1788.rtf,MrsCrsby_1788.rtf,28,undirected
MissDvnprt_1788.rtf,MrsDd_1788.rtf,1,undirected
MissDvnprt_1788.rtf,MrsHrvy_1788.rtf,4,undirected
MissGrge_1788.rtf,MissBetsyClrke_1788.rtf,18,undirected
MissGrge_1788.rtf,MissBrwn_1788.rtf,10,undirected
MissGrge_1788.rtf,MissGrn_1788.rtf,30,undirected
MissGrge_1788.rtf,MissKn_1788.rtf,6,undirected
MissGrge_1788.rtf,MissMntn_1788.rtf,1,undirected
MissGrn_1788.rtf,MissBetsyClrke_1788.rtf,16,undirected
MissGrn_1788.rtf,MissBrwn_1788.rtf,5,undirected
MissGrn_1788.rtf,MissGrge_1788.rtf,30,undirected
MissGrn_1788.rtf,MissKn_1788.rtf,6,undirected
MissHarrietJns_1788.rtf,MissBetsyHdsn_1788.rtf,20,undirected
MissHarrietJns_1788.rtf,MissBnd_1788.rtf,20,undirected
MissHarrietJns_1788.rtf,MissKn_1788.rtf,6,undirected
MissHarrietJns_1788.rtf,MissMntn_1788.rtf,12,undirected
MissHllnd_1788.rtf,MissJnsn_1788.rtf,5,undirected
MissHllnd_1788.rtf,MissLcs_1788.rtf,15,undirected
MissHllnd_1788.rtf,MissLvr_1788.rtf,30,undirected
MissHllnd_1788.rtf,MissRchrdsn_1788.rtf,24,undirected
MissHrdy_1788.rtf,MissBrn_1788.rtf,12,undirected
MissHrdy_1788.rtf,MissClnton_1788.rtf,4,undirected
MissHrdy_1788.rtf,MissJnsn_1788.rtf,8,undirected
MissHrdy_1788.rtf,MissLnsy_1788.rtf,28,undirected
MissHrdy_1788.rtf,MissTrbt_1788.rtf,21,undirected
MissJnsn_1788.rtf,MissBrn_1788.rtf,3,undirected
MissJnsn_1788.rtf,MissClnton_1788.rtf,1,undirected
MissJnsn_1788.rtf,MissHllnd_1788.rtf,5,undirected
MissJnsn_1788.rtf,MissHrdy_1788.rtf,8,undirected
MissJnsn_1788.rtf,MissLcs_1788.rtf,1,undirected
MissJnsn_1788.rtf,MissLnsy_1788.rtf,3,undirected
MissJnsn_1788.rtf,MissLvr_1788.rtf,2,undirected
MissJnsn_1788.rtf,MissRchrdsn_1788.rtf,20,undirected
MissJnsn_1788.rtf,MissTrbt_1788.rtf,8,undirected
MissKn_1788.rtf,MissBnd_1788.rtf,18,undirected
MissKn_1788.rtf,MissGrge_1788.rtf,6,undirected
MissKn_1788.rtf,MissGrn_1788.rtf,6,undirected
MissKn_1788.rtf,MissHarrietJns_1788.rtf,6,undirected
MissKn_1788.rtf,MissMntn_1788.rtf,30,undirected
MissLcs_1788.rtf,MissHllnd_1788.rtf,15,undirected
MissLcs_1788.rtf,MissJnsn_1788.rtf,1,undirected
MissLcs_1788.rtf,MissLvr_1788.rtf,23,undirected
MissLcs_1788.rtf,MissRchrdsn_1788.rtf,4,undirected
MissLnsy_1788.rtf,MissBrn_1788.rtf,22,undirected
MissLnsy_1788.rtf,MissClnton_1788.rtf,12,undirected
MissLnsy_1788.rtf,MissDglss_1788.rtf,5,undirected
MissLnsy_1788.rtf,MissHrdy_1788.rtf,28,undirected
MissLnsy_1788.rtf,MissJnsn_1788.rtf,3,undirected
MissLnsy_1788.rtf,MissTrbt_1788.rtf,12,undirected
MissLstr_1788.rtf,MissBetsyHdsn_1788.rtf,16,undirected
MissLstr_1788.rtf,MrsDd_1788.rtf,6,undirected
MissLstr_1788.rtf,MrsDfld_1788.rtf,30,undirected
MissLvr_1788.rtf,MissHllnd_1788.rtf,30,undirected
MissLvr_1788.rtf,MissJnsn_1788.rtf,2,undirected
MissLvr_1788.rtf,MissLcs_1788.rtf,23,undirected
MissLvr_1788.rtf,MissRchrdsn_1788.rtf,9,undirected
MissMntn_1788.rtf,MissBnd_1788.rtf,23,undirected
MissMntn_1788.rtf,MissGrge_1788.rtf,1,undirected
MissMntn_1788.rtf,MissHarrietJns_1788.rtf,12,undirected
MissMntn_1788.rtf,MissKn_1788.rtf,30,undirected
MissRchrdsn_1788.rtf,MissHllnd_1788.rtf,24,undirected
MissRchrdsn_1788.rtf,MissJnsn_1788.rtf,20,undirected
MissRchrdsn_1788.rtf,MissLcs_1788.rtf,4,undirected
MissRchrdsn_1788.rtf,MissLvr_1788.rtf,9,undirected
MissTrbt_1788.rtf,MissBrn_1788.rtf,7,undirected
MissTrbt_1788.rtf,MissHrdy_1788.rtf,21,undirected
