Source,Target,Weight,Type
Btsy_1788.rtf,MissBlke_1788.rtf,4,undirected
Btsy_1788.rtf,MissDvnprt_1788.rtf,12,undirected
Btsy_1788.rtf,MissKlpn_1788.rtf,2,undirected
Btsy_1788.rtf,MrsCrsby_1788.rtf,13,undirected
Btsy_1788.rtf,MrsDd_1788.rtf,4,undirected
Conclusion_1788.rtf,MissFrsr_1788.rtf,7,undirected
Conclusion_1788.rtf,MissLws_1788.rtf,2,undirected
Conclusion_1788.rtf,MissMlswrth_1788.rtf,14,undirected
Conclusion_1788.rtf,MissSpncr_1788.rtf,13,undirected
Conclusion_1788.rtf,MissWd_1788.rtf,2,undirected
Conclusion_1788.rtf,MissWrnr_1788.rtf,5,undirected
Conclusion_1788.rtf,MrsCharlotteFne_1788.rtf,2,undirected
Conclusion_1788.rtf,MrsWd_1788.rtf,4,undirected
Conclusion_1788.rtf,MrsWrd_1788.rtf,3,undirected
Emma_1788.rtf,MadamDslz_1788.rtf,2,undirected
Emma_1788.rtf,MissCp_1788.rtf,1,undirected
Emma_1788.rtf,MissElizaWbstr_1788.rtf,1,undirected
Emma_1788.rtf,MissJnes_1788.rtf,2,undirected
Emma_1788.rtf,MissLstr_1788.rtf,12,undirected
Emma_1788.rtf,MissSarahSddns_1788.rtf,4,undirected
Emma_1788.rtf,MissWllms_1788.rtf,2,undirected
MadamDslz_1788.rtf,Emma_1788.rtf,2,undirected
MadamDslz_1788.rtf,MissCp_1788.rtf,3,undirected
MadamDslz_1788.rtf,MissElizaWbstr_1788.rtf,2,undirected
MadamDslz_1788.rtf,MissJnes_1788.rtf,16,undirected
MadamDslz_1788.rtf,MissSarahSddns_1788.rtf,2,undirected
MadamDslz_1788.rtf,MrsDd_1788.rtf,1,undirected
MadamDslz_1788.rtf,MrsDfld_1788.rtf,3,undirected
MadamDslz_1788.rtf,MrsNtn_1788.rtf,1,undirected
MadamoiselleDuPar_1788.rtf,MissBltn_1788.rtf,7,undirected
MadamoiselleDuPar_1788.rtf,MissCpr_1788.rtf,6,undirected
MadamoiselleDuPar_1788.rtf,MissCrbt_1788.rtf,1,undirected
MadamoiselleDuPar_1788.rtf,MissDvnshre_1788.rtf,1,undirected
MadamoiselleDuPar_1788.rtf,MissHarrietLld_1788.rtf,2,undirected
MadamoiselleDuPar_1788.rtf,MissJennyHbrd_1788.rtf,2,undirected
MadamoiselleDuPar_1788.rtf,MissKn_1788.rtf,6,undirected
MadamoiselleDuPar_1788.rtf,MissMntn_1788.rtf,1,undirected
MadamoiselleDuPar_1788.rtf,MissPmbrke_1788.rtf,1,undirected
MissBetsyClrke_1788.rtf,MissBrwn_1788.rtf,1,undirected
MissBetsyClrke_1788.rtf,MissEmmaElltt_1788.rtf,4,undirected
MissBetsyClrke_1788.rtf,MissGrn_1788.rtf,1,undirected
MissBetsyClrke_1788.rtf,MissHllngbrg_1788.rtf,3,undirected
MissBetsyClrke_1788.rtf,MissRfs_1788.rtf,8,undirected
MissBetsyClrke_1788.rtf,MissSms_1788.rtf,15,undirected
MissBetsyClrke_1788.rtf,MrsChshline_1788.rtf,1,undirected
MissBetsyClrke_1788.rtf,MrsSttn_1788i.rtf,3,undirected
MissBetsyHdsn_1788.rtf,MissBrwn2_1788.rtf,8,undirected
MissBetsyHdsn_1788.rtf,MissCp_1788.rtf,6,undirected
MissBetsyHdsn_1788.rtf,MissHlln_1788.rtf,16,undirected
MissBetsyHdsn_1788.rtf,MissPmbrke_1788.rtf,1,undirected
MissBetsyHdsn_1788.rtf,MissRbnsn_1788.rtf,2,undirected
MissBetsyHdsn_1788.rtf,MissWlknsn_1788.rtf,3,undirected
MissBetsyHdsn_1788.rtf,MrsAntrbs_1788.rtf,4,undirected
MissBetsyHstng_1788.rtf,MissCharlotteCttn_1788.rtf,3,undirected
MissBetsyHstng_1788.rtf,MissCp_1788.rtf,3,undirected
MissBetsyHstng_1788.rtf,MissElizaWbstr_1788.rtf,4,undirected
MissBetsyHstng_1788.rtf,MissLstr_1788.rtf,2,undirected
MissBetsyHstng_1788.rtf,MissPhoebeBrn_1788.rtf,8,undirected
MissBetsyHstng_1788.rtf,MissSarahSddns_1788.rtf,1,undirected
MissBetsyHstng_1788.rtf,MrsDd_1788.rtf,1,undirected
MissBetsyHstng_1788.rtf,MrsHrvy_1788.rtf,6,undirected
MissBetsyRlns_1788.rtf,MissElizabethWtkns_1788.rtf,11,undirected
MissBetsyRlns_1788.rtf,MissFannyHnly_1788.rtf,3,undirected
MissBetsyRlns_1788.rtf,MissGrdner_1788.rtf,7,undirected
MissBetsyRlns_1788.rtf,MissGrn_1788.rtf,5,undirected
MissBetsyRlns_1788.rtf,MissHllngbrg_1788.rtf,3,undirected
MissBetsyRlns_1788.rtf,MissMrrs_1788.rtf,14,undirected
MissBetsyRlns_1788.rtf,MrsHwrd.rtf,6,undirected
MissBlke_1788.rtf,Btsy_1788.rtf,4,undirected
MissBlke_1788.rtf,MissCharlotteCttn_1788.rtf,1,undirected
MissBlke_1788.rtf,MissDvnprt_1788.rtf,1,undirected
MissBlke_1788.rtf,MissPhoebeBrn_1788.rtf,12,undirected
MissBlke_1788.rtf,MissSarahSddns_1788.rtf,2,undirected
MissBlke_1788.rtf,MrsCrsby_1788.rtf,1,undirected
MissBlke_1788.rtf,MrsDd_1788.rtf,15,undirected
MissBlke_1788.rtf,MrsHrvy_1788.rtf,5,undirected
MissBltn_1788.rtf,MadamoiselleDuPar_1788.rtf,7,undirected
MissBltn_1788.rtf,MissChld_1788.rtf,1,undirected
MissBltn_1788.rtf,MissCpr_1788.rtf,2,undirected
MissBltn_1788.rtf,MissCrbt_1788.rtf,6,undirected
MissBltn_1788.rtf,MissGrce_1788.rtf,3,undirected
