"Harris_1788A.rtf" "Harris_1793.rtf" "placeholder"
"the" 4.69397513547976 4.44746432762987 0
"and" 3.78546381893529 3.11322502934091 0
"of" 3.15986611412177 3.72475137439002 0
"her" 2.96860057379662 3.5085551917969 0
"a" 2.41871214536181 3.19352646858978 0
"to" 2.28721708638827 2.81672740749892 0
"she" 2.19158431622569 2.53258385323368 0
"is" 1.85686962065668 2.29785656927543 0
"in" 1.62974179152056 1.80369386620545 0
"with" 1.18345553076187 1.21687565630984 0
"that" 0.952343002868983 0.722712953239854 0
"as" 0.796939751354798 0.735067020816604 0
"for" 0.70927637870577 0.809191426277102 0
"has" 0.553873127191584 0.759775155970103 0
"but" 0.621613006056742 0.642411513990982 0
"this" 0.498087344596748 0.833899561430601 0
"be" 0.561842524705132 0.722712953239854 0
"not" 0.601689512272872 0.586818209895608 0
"no" 0.506056742110296 0.611526345049107 0
"miss" 0.657475294867708 0.370622027302489 0
"which" 0.446286260758687 0.648588547779356 0
"at" 0.541919030921262 0.463277534128112 0
"very" 0.418393369461269 0.617703378837482 0
"are" 0.438316863245139 0.531224905800235 0
"it" 0.458240357029009 0.475631601704861 0
"by" 0.362607586866433 0.518870838223485 0
"will" 0.394485176920625 0.426215331397863 0
"all" 0.422378068218043 0.34591389214899 0
"good" 0.346668791839337 0.382976094879239 0
"we" 0.350653490596111 0.339736858360615 0
"an" 0.235097226649665 0.500339736858361 0
"so" 0.370576984379981 0.284143554265242 0
"from" 0.326745298055467 0.327382790783866 0
"who" 0.215173732865795 0.494162703069986 0
"eyes" 0.322760599298693 0.321205756995491 0
"every" 0.406439273190947 0.185311013651245 0
"one" 0.270959515460631 0.382976094879239 0
"his" 0.282913611730953 0.302674655630366 0
"can" 0.318775900541919 0.240904317746618 0
"well" 0.346668791839337 0.185311013651245 0
"on" 0.259005419190309 0.308851689418741 0
"when" 0.282913611730953 0.271789486688492 0
"love" 0.286898310487727 0.259435419111743 0
"he" 0.243066624163213 0.302674655630366 0
"you" 0.286898310487727 0.210019148804744 0
"was" 0.11954096270322 0.457100500339737 0
"have" 0.235097226649665 0.259435419111743 0
"mrs" 0.247051322919987 0.216196182593119 0
"any" 0.227127829136117 0.234727283958243 0
"if" 0.227127829136117 0.228550250169868 0
"lady" 0.131495058973542 0.34591389214899 0
"or" 0.231112527892891 0.19148804743962 0
"may" 0.207204335352247 0.222373216381494 0
"most" 0.207204335352247 0.222373216381494 0
